Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-1291.261	-1504.588	213.3274	0.8152217	2.361567	3.260305
6	-1300.742	-1514.116	213.3744	0.7684417	2.075365	3.351372
12	-1300.487	-1513.688	213.2018	0.8549429	2.976849	3.140556
18	-1311.497	-1524.603	213.1051	0.8435763	4.004404	2.972935
24	-1296.256	-1511.43	215.1742	1.186713	1.307544	2.317819
30	-1295.604	-1510.106	214.5014	1.027619	2.683768	2.317819
36	-1299.656	-1514.045	214.3892	1.00059	2.94202	2.33283
42	-1307.624	-1522.059	214.435	0.9723527	2.646975	2.405841
48	-1301.799	-1515.751	213.9523	0.8616852	1.860936	3.029018
54	-1300.036	-1513.668	213.6324	0.8776095	1.618968	3.303595
60	-1298.656	-1512.831	214.1751	0.740128	1.390444	3.163095
66	-1280.569	-1494.483	213.9141	0.6318255	1.493522	3.335177
72	-1288.402	-1501.729	213.3268	0.6558373	2.400294	3.34288
78	-1285.226	-1499.715	214.4892	1.107151	2.2196	2.422294
84	-1293.097	-1507.668	214.571	0.8099702	2.2196	2.557093
90	-1294.243	-1509.204	214.9617	1.205138	2.2196	2.054758
96	-1295.697	-1510.177	214.4804	0.9979903	2.658321	2.357542
102	-1285.931	-1500.565	214.6347	1.000425	2.182384	2.410627
108	-1293.439	-1507.906	214.4669	0.9935591	1.581384	2.749783
114	-1288.325	-1503.117	214.7917	0.9766102	2.671941	2.167324
120	-1297.089	-1510.979	213.8896	0.9909559	2.156121	2.884945
126	-1292.838	-1506.63	213.7918	1.094605	1.290539	3.227593
132	-1279.723	-1494.369	214.6463	1.053455	1.709135	2.548451
138	-1287.492	-1501.724	214.2318	1.114903	3.189603	2.294333
144	-1298.005	-1512.79	214.7846	0.9195637	2.067053	2.407798
150	-1295.653	-1509.482	213.8289	1.072106	2.342157	2.81219
156	-1299.643	-1514.165	214.5221	0.942573	1.650005	2.718076
162	-1291.486	-1504.826	213.3401	0.9348674	2.183772	3.237846
168	-1292.133	-1506.594	214.4615	1.011648	1.806942	2.649449
174	-1290.636	-1505.336	214.6999	0.9930296	1.806942	2.513102
180	-1284.824	-1499.134	214.3094	0.9312944	2.030098	2.709124
186	-1289.392	-1503.165	213.7727	0.9336277	2.302977	2.942351
192	-1294.754	-1508.479	213.7258	0.7160233	2.713961	2.980085
198	-1299.632	-1513.508	213.8758	0.76857	1.867163	3.127963
204	-1286.697	-1500.539	213.8417	0.8989498	1.374697	3.273733
210	-1295.172	-1508.457	213.2852	0.8787379	1.492388	3.559103
216	-1294.337	-1507.763	213.4266	0.9594677	1.21364	3.559103
222	-1295.051	-1509.547	214.4961	1.093387	1.126736	2.892208
228	-1298.28	-1512.341	214.0609	1.015602	1.804975	2.892208
234	-1300.589	-1515.298	214.7088	1.006917	1.625907	2.573479
240	-1284.993	-1500.307	215.3139	1.032394	1.411461	2.274507
246	-1290.049	-1505.15	215.1014	0.8718307	1.428156	2.502394
252	-1291.224	-1505.224	214	0.9189268	2.455839	2.766067
258	-1297.43	-1511.711	214.2811	0.8368723	1.804634	2.867241
264	-1298.782	-1512.549	213.7671	0.8092565	2.8301	2.867241
270	-1299.196	-1512.499	213.3023	0.8186858	1.319535	3.661517
276	-1290.993	-1504.82	213.8273	0.9517406	1.261403	3.305264
282	-1300.675	-1514.683	214.0084	1.038177	2.012422	2.833817
288	-1289.796	-1505.072	215.276	1.008609	1.712087	2.176041
294	-1281.703	-1496.203	214.5001	1.048148	2.025094	2.520741
300	-1297.118	-1512.406	215.2884	1.112938	1.511988	2.190499
306	-1296.768	-1510.82	214.0524	0.9776095	1.912764	2.879825
312	-1293.341	-1508.114	214.7729	1.086795	1.105592	2.739778
318	-1287.177	-1502.695	215.5171	1.193587	1.297669	2.096851
324	-1281.609	-1497.958	216.349	1.799931	1.655591	0.6847169
330	-1293.965	-1510.299	216.3346	1.942363	1.516802	0.619342
336	-1292.742	-1509.266	216.5242	1.942363	1.273022	0.619342
342	-1287.621	-1501.667	214.0459	0.7929537	2.907106	2.686455
348	-1281.441	-1496.353	214.9116	1.010954	2.038687	2.279324
354	-1286.252	-1499.889	213.6373	0.9156953	2.038687	3.121272
360	-1284.314	-1496.818	212.504	0.6953554	2.084663	3.895764
366	-1296.947	-1510.474	213.5268	0.679721	2.471337	3.189683
372	-1292.835	-1506.526	213.6915	0.9651232	2.374227	2.950057
378	-1292.738	-1506.425	213.6864	0.8567072	2.604271	2.950057
384	-1288.706	-1502.588	213.882	0.9062796	2.384872	2.867287
390	-1276.177	-1490.246	214.0687	0.883664	2.080029	2.867287
396	-1296.187	-1509.978	213.7905	0.9485128	2.988614	2.726142
402	-1284.548	-1500.196	215.6483	1.126171	1.869549	1.780362
408	-1288.321	-1502.533	214.2125	1.014646	1.810934	2.798551
414	-1295.351	-1511.778	216.4264	1.480299	1.167919	1.32461
420	-1292.078	-1508.163	216.0843	1.544773	1.813474	1.15373
426	-1299.301	-1515.163	215.8619	1.578288	2.175005	1.132256
432	-1295.902	-1511.938	216.0357	1.470439	1.436398	1.465147
438	-1313.882	-1530.117	216.2351	1.619182	1.030728	1.465147
444	-1302.083	-1515.969	213.8858	0.9526707	2.521254	2.795484
450	-1295.692	-1510.34	214.6488	0.8303318	1.84461	2.631114
456	-1293.114	-1507.723	214.609	1.1379	1.499205	2.610028
462	-1287.91	-1502.476	214.5664	1.001102	1.797785	2.594697
468	-1288.132	-1501.493	213.3614	0.8377592	2.244191	3.263314
474	-1295.601	-1508.812	213.2103	0.7652649	2.693658	3.263314
480	-1291.337	-1505.799	214.4613	1.037379	2.056533	2.540329
486	-1290.175	-1504.843	214.668	0.8438353	1.466906	2.769121
492	-1283.959	-1497.243	213.2838	0.8190356	1.899506	3.435695
498	-1296.347	-1510.435	214.0877	0.8980254	1.933063	2.89915
504	-1287.557	-1501.296	213.7386	0.8127727	2.587722	2.949808
510	-1278.819	-1492.105	213.2861	0.8075239	2.815294	3.16058
516	-1282.694	-1496.384	213.6906	0.7635451	2.743538	2.964489
522	-1279.077	-1492.956	213.8784	0.7249002	2.346578	2.99069
528	-1289.744	-1503.734	213.99	0.960249	1.852165	2.950437
534	-1289.657	-1503.86	214.2031	0.9523841	2.083527	2.742484
540	-1293.955	-1507.107	213.152	0.7099579	2.019554	3.534502
546	-1301.867	-1513.723	211.8554	0.6940578	1.798491	4.363408
552	-1297.649	-1510.621	212.9722	0.7370363	2.165307	3.575372
558	-1292.778	-1505.455	212.6766	0.7372009	2.770924	3.571632
564	-1294.944	-1508.319	213.3745	0.8504553	2.585731	3.145622
570	-1304.725	-1518.585	213.8598	0.9954402	2.250955	2.869078
576	-1306.492	-1521.472	214.9797	1.117997	1.389466	2.443063
582	-1305.202	-1520.215	215.0134	1.104262	1.307692	2.471468
588	-1313.664	-1527.218	213.5543	0.9719732	1.42548	3.376755
594	-1310.967	-1524.17	213.2039	0.7841978	1.871213	3.512861
600	-1300.563	-1515.088	214.5242	0.9415601	1.437742	2.810549
606	-1296.168	-1510.901	214.7327	1.119532	1.186516	2.699589
612	-1295.521	-1509.418	213.8973	0.9549052	3.275661	2.583811
618	-1287.82	-1501.38	213.5601	0.9441665	1.784152	3.242075
624	-1296.823	-1510.422	213.5991	0.7601449	2.021696	3.242075
630	-1297.59	-1512.781	215.191	0.9793703	2.208816	2.056334
636	-1287.475	-1501.073	213.5975	0.9269373	1.98392	3.157308
642	-1290.329	-1504.347	214.0186	0.9517921	2.093442	2.851748
648	-1284.655	-1498.1	213.4455	0.9190835	1.857672	3.297136
654	-1287.612	-1501.282	213.6694	0.8575095	1.409623	3.383493
660	-1293.862	-1508.032	214.1697	0.95312	1.142828	3.163003
666	-1306.138	-1521.196	215.0584	0.9293467	1.930505	2.278487
672	-1307.902	-1522.797	214.8947	1.091357	1.933253	2.278487
678	-1293.352	-1507.673	214.3202	1.072696	2.118318	2.584251
684	-1305.841	-1520.668	214.8269	1.128017	1.570524	2.44833
690	-1291.982	-1507.06	215.078	1.201845	1.433917	2.306053
696	-1295.198	-1510.119	214.9203	1.085435	1.760731	2.334705
702	-1310.847	-1524.307	213.4594	0.8765287	1.42478	3.488443
708	-1314.193	-1527.219	213.0252	0.8034461	1.862759	3.608659
714	-1317.212	-1530.049	212.8372	0.7914738	2.207773	3.608659
720	-1311.103	-1525.904	214.8007	1.004933	2.054933	2.347926
726	-1314.832	-1529.308	214.4762	1.016971	2.483839	2.401327
732	-1309.21	-1523.412	214.2015	0.8793638	1.527788	3.00272
738	-1301.925	-1515.652	213.7271	1.115911	1.69362	3.076066
744	-1292.323	-1506.972	214.6491	1.177543	1.520056	2.551135
750	-1294.701	-1509.301	214.5998	1.023925	1.618489	2.633617
756	-1301.574	-1515.709	214.1358	1.065132	2.000395	2.744083
762	-1311.323	-1524.436	213.1125	1.012475	2.803343	3.14514
768	-1295.163	-1508.999	213.8367	1.018912	2.180976	2.89177
774	-1290.03	-1503.861	213.8314	1.003185	2.180976	2.904458
780	-1295.918	-1509.664	213.7458	0.9626999	1.909815	3.07411
786	-1298.244	-1511.24	212.9961	0.9197072	1.990542	3.513028
792	-1294.893	-1508.593	213.7004	0.8228326	2.556411	2.975775
798	-1293.757	-1507.123	213.3658	0.8093852	2.522427	3.193345
804	-1303.057	-1516.204	213.1465	0.7776666	2.339333	3.395613
